1,1,1
1,2,2
1,3,1
1,4,1
1,8,1
1,10,1
1,11,1
1,12,1
1,13,2
1,16,2
1,17,2
1,18,1
1,19,1
1,20,2
2,1,1
2,2,1
2,3,1
2,6,2
2,7,1
2,8,1
2,9,1
2,10,1
2,11,1
2,12,1
2,13,1
2,15,1
2,16,1
2,17,1
2,18,1
2,20,1
3,1,1
3,2,2
3,3,1
3,5,1
3,6,2
3,8,2
3,9,1
3,10,1
3,11,1
3,13,1
3,14,1
3,15,1
3,17,1
3,18,1
3,19,1
3,20,2
4,1,1
4,2,1
4,4,1
4,5,1
4,6,1
4,7,1
4,9,1
4,10,1
4,11,1
4,12,1
4,13,2
4,15,3
4,19,1
4,20,1
5,1,1
5,2,2
5,4,1
5,6,1
5,7,1
5,9,1
5,11,1
5,12,1
5,13,1
5,14,2
5,16,2
5,17,1
5,18,1
5,19,1
5,20,1
6,2,1
6,4,1
6,5,1
6,7,1
6,10,1
6,11,1
6,14,3
6,20,1
6,19,1
6,3,1
6,8,1
6,12,1
6,9,1
7,12,1
7,3,2
7,14,1
7,19,1
7,18,2
7,5,1
7,10,1
7,5,2
7,6,1
7,2,1
7,16,1
8,10,1
8,6,2
8,6,1
8,12,1
8,10,2
8,1,1
8,14,2
8,4,2
8,19,2
8,18,2
9,4,1
9,10,3
9,1,1
9,17,3
9,6,3
9,9,1
9,16,2
9,20,1
10,10,2
10,19,2
10,9,1
10,4,1
10,2,2
10,11,1
10,3,1
10,16,1
10,14,1
10,20,1
10,1,2
10,13,1
11,8,1
11,13,2
11,7,1
11,9,3
11,6,2
11,18,2
11,3,1
11,15,2
12,18,2
12,6,2
12,2,2
12,4,2
12,15,2
12,1,2
12,17,2
12,9,2
12,6,1
12,20,1
13,7,3
13,14,2
13,12,3
13,18,2
13,11,1
13,5,1
13,16,1
13,10,2
14,5,1
14,20,2
14,15,1
14,7,1
14,2,2
14,8,2
14,16,1
14,3,1
14,13,1
14,14,1
14,10,1
14,19,2
15,9,2
15,10,2
15,8,2
15,3,1
15,10,1
15,2,2
15,3,1
15,17,2
16,6,2
16,3,1
16,17,1
16,10,1
16,7,2
16,4,2
16,19,1
16,16,2
16,6,1
16,13,2
16,14,2
16,8,1
16,15,1
17,17,1
17,1,2
17,3,2
17,9,2
17,11,1
17,20,2
17,12,1
17,5,2
17,6,1
18,19,1
18,13,1
18,3,2
18,15,1
18,1,3
18,10,2
18,2,2
18,17,2
19,15,2
19,7,2
19,13,3
19,3,2
19,5,1
19,9,1
19,20,3
20,14,1
20,10,2
20,8,3
20,13,3
20,9,2
20,4,1
20,16,2
21,2,4
21,3,4
21,4,4
